,eval/evaluate_secs,eval/loss,eval/sparse_categorical_accuracy,round_num,test/avg_loss,test/avg_sparse_categorical_accuracy,test/evaluate_secs,test/max_loss,test/max_sparse_categorical_accuracy,test/min_loss,test/min_sparse_categorical_accuracy,test/std_loss,test/std_sparse_categorical_accuracy,train/loss,train/model_delta_l2_norm,train/num_available,train/prepare_datasets_secs,train/save_checkpoint_secs,train/sparse_categorical_accuracy,train/training_secs
10,54.32292103767395,5.585482597351074,0.009999999776482582,10.0,,,,,,,,,,3.932913064956665,0.2941504418849945,500.0,1.193579912185669,1.2827799320220947,0.09000000357627869,58.08768320083618
11,53.605798959732056,5.577801704406738,0.009999999776482582,11.0,,,,,,,,,,3.9566569328308105,0.2771064043045044,500.0,1.2362217903137207,,0.08100000023841858,56.94412422180176
12,64.39762783050537,5.568561553955078,0.01209999993443489,12.0,,,,,,,,,,4.058083534240723,0.2854810357093811,500.0,1.2054901123046875,,0.07800000160932541,55.75043702125549
13,121.13552594184875,5.586954593658447,0.009999999776482582,13.0,,,,,,,,,,3.9764888286590576,0.29150402545928955,500.0,1.1497080326080322,,0.0949999988079071,79.42960786819458
14,31.751123189926147,5.59288215637207,0.009999999776482582,14.0,,,,,,,,,,3.7525014877319336,0.33054718375205994,500.0,0.5226931571960449,,0.11500000208616257,43.85293889045715
15,32.220513105392456,5.595202445983887,0.009999999776482582,15.0,,,,,,,,,,3.9322617053985596,0.27284976840019226,500.0,0.5553171634674072,0.7544088363647461,0.08299999684095383,43.9006290435791
16,31.658541202545166,5.56076192855835,0.009999999776482582,16.0,,,,,,,,,,3.903923273086548,0.27482062578201294,500.0,0.5669281482696533,,0.1120000034570694,44.110275983810425
17,31.739097118377686,5.577609539031982,0.009999999776482582,17.0,,,,,,,,,,3.8797860145568848,0.3053170144557953,500.0,0.5503191947937012,,0.09600000083446503,43.42269706726074
18,44.31958723068237,5.571631908416748,0.015300000086426735,18.0,,,,,,,,,,3.836069107055664,0.30861201882362366,500.0,0.598578929901123,,0.11999999731779099,48.20941781997681
19,60.34245300292969,5.552450180053711,0.015599999576807022,19.0,,,,,,,,,,3.8576269149780273,0.2858257591724396,500.0,1.0698449611663818,,0.09399999678134918,59.84592270851135
20,61.38945508003235,5.549548625946045,0.010099999606609344,20.0,,,,,,,,,,4.112725257873535,0.2591637372970581,500.0,1.5161190032958984,1.5136008262634277,0.05299999937415123,67.02369213104248
21,55.675408124923706,5.534606456756592,0.024000000208616257,21.0,,,,,,,,,,3.899660110473633,0.28404656052589417,500.0,1.3523828983306885,,0.11500000208616257,56.1974241733551
22,57.743117809295654,5.548799514770508,0.010599999688565731,22.0,,,,,,,,,,3.8823091983795166,0.3151073455810547,500.0,1.3328828811645508,,0.1120000034570694,60.86906290054321
23,80.21264600753784,5.549001216888428,0.010499999858438969,23.0,,,,,,,,,,3.7817459106445312,0.2969389259815216,500.0,1.3314292430877686,,0.1420000046491623,72.68456602096558
24,60.814640045166016,5.554018974304199,0.010099999606609344,24.0,,,,,,,,,,3.602186441421509,0.27883821725845337,500.0,1.7011587619781494,,0.12999999523162842,67.04465103149414
25,58.29584288597107,5.5450921058654785,0.016300000250339508,25.0,,,,,,,,,,3.8078291416168213,0.2797534465789795,500.0,1.3075892925262451,1.6051790714263916,0.12800000607967377,60.33084321022034
26,68.4558470249176,5.522482872009277,0.026000000536441803,26.0,,,,,,,,,,3.852257251739502,0.29186972975730896,500.0,1.3403899669647217,,0.10000000149011612,61.73971199989319
27,64.06513214111328,5.5191240310668945,0.017500000074505806,27.0,,,,,,,,,,3.9319722652435303,0.3135850727558136,500.0,1.4600880146026611,,0.125,79.3702609539032
28,65.07755184173584,5.525479316711426,0.014600000344216824,28.0,,,,,,,,,,3.69704008102417,0.27617698907852173,500.0,1.206502914428711,,0.11999999731779099,59.75930190086365
29,76.64842534065247,5.491937160491943,0.021700000390410423,29.0,,,,,,,,,,3.770082473754883,0.3223192095756531,500.0,1.3134942054748535,,0.12399999797344208,58.38929200172424
30,53.277941942214966,5.466604232788086,0.026100000366568565,30.0,,,,,,,,,,3.883535385131836,0.37884852290153503,500.0,1.757120132446289,1.3076369762420654,0.11299999803304672,72.47727608680725
31,51.93334197998047,5.464935302734375,0.01889999955892563,31.0,,,,,,,,,,3.959665536880493,0.3228999376296997,500.0,1.1291961669921875,,0.08900000154972076,53.22815299034119
32,48.843353033065796,5.450567722320557,0.026599999517202377,32.0,,,,,,,,,,3.8553154468536377,0.2806054949760437,500.0,1.1104912757873535,,0.0949999988079071,54.76579189300537
33,49.90273904800415,5.490676403045654,0.01899999938905239,33.0,,,,,,,,,,3.7995917797088623,0.30388814210891724,500.0,1.1397149562835693,,0.09300000220537186,54.295839071273804
34,48.274184226989746,5.444985389709473,0.02250000089406967,34.0,,,,,,,,,,3.8431758880615234,0.30648744106292725,500.0,1.183377742767334,,0.09700000286102295,55.186347007751465
35,48.17362880706787,5.435768127441406,0.0364999994635582,35.0,,,,,,,,,,3.8327341079711914,0.3168877065181732,500.0,1.1125919818878174,1.286283016204834,0.10100000351667404,53.95336103439331
36,47.310758113861084,5.424300193786621,0.024000000208616257,36.0,,,,,,,,,,3.7333786487579346,0.3033674955368042,500.0,1.1705830097198486,,0.11400000005960464,54.611961126327515
37,47.022454023361206,5.420321941375732,0.029200000688433647,37.0,,,,,,,,,,3.744208574295044,0.3088185787200928,500.0,1.119581937789917,,0.1340000033378601,53.67228817939758
38,51.36404013633728,5.401711940765381,0.022299999371170998,38.0,,,,,,,,,,3.854625940322876,0.28435584902763367,500.0,1.1224360466003418,,0.10400000214576721,55.72804403305054
39,43.164067029953,5.408710479736328,0.025100000202655792,39.0,,,,,,,,,,3.7730517387390137,0.2347450703382492,500.0,1.0899379253387451,,0.09600000083446503,52.12799096107483
40,46.83151173591614,5.393031597137451,0.028300000354647636,40.0,,,,,,,,,,3.7542436122894287,0.2823924720287323,500.0,1.1069648265838623,1.018784999847412,0.10599999874830246,52.203670024871826
41,42.37290811538696,5.433436393737793,0.018400000408291817,41.0,,,,,,,,,,3.7037386894226074,0.31789425015449524,500.0,1.0535941123962402,,0.11400000005960464,51.19104623794556
42,42.09304189682007,5.420993328094482,0.0272000003606081,42.0,,,,,,,,,,3.713637113571167,0.3016921877861023,500.0,1.070932149887085,,0.11299999803304672,50.716480016708374
